,dCnPalas
930,136.71
1554,231.066666666667
1105,275.253333333333
107,191.096666666667
1268,303.68
497,165.146666666667
2053,200.536666666667
943,118.803333333333
1853,234.26
829,150.045
1151,277.43
1615,239.743333333333
1540,239.643333333333
1453,295.103333333333
72,190.196666666667
1273,309.793333333333
1814,229.556666666667
1517,251.316666666667
1210,283.483333333333
481,186.183333333333
1111,274.233333333333
506,158.8
1960,223.64
818,133.706666666667
2057,201.833333333333
786,127.49
705,103.96
921,140.89
311,201.603333333333
1000,120.583333333333
405,204.44
865,146.633333333333
1888,229.233333333333
1350,316.156666666667
309,201.61
226,196.623333333333
1763,217.206666666667
889,146.633333333333
1587,239.986666666667
1107,275.176666666667
1160,280.65
148,192.72
1816,230.163333333333
1457,294.15
888,146.79
879,145.723333333333
893,145.516666666667
575,137.123333333333
557,144.293333333333
1531,242.396666666667
741,132.543333333333
1200,278.97
1849,235.586666666667
1206,282.016666666667
950,101.22
1023,138.326666666667
941,124.143333333333
286,200.736666666667
1664,233.916666666667
1785,214.32
628,132.543333333333
598,138.763333333333
1973,221.653333333333
1466,287.083333333333
1697,222.353333333333
1646,234.673333333333
2037,208.36
1360,310.186666666667
1512,256.656666666667
966,101.166666666667
862,147.43
1301,323.826666666667
1653,235.063333333333
609,140.293333333333
1936,226.133333333333
849,148.723333333333
1999,223.51
887,146.79
1871,231.033333333333
493,169.703333333333
1536,241.113333333333
277,200.316666666667
1920,225.996666666667
358,204.0
1344,314.053333333333
236,197.326666666667
551,151.736666666667
1941,225.04
1657,234.143333333333
208,195.576666666667
1459,291.733333333333
1619,239.44
58,190.173333333333
631,132.35
1852,234.27
1933,226.896666666667
2031,209.116666666667
363,204.063333333333
505,159.213333333333
1640,236.266666666667
1298,324.573333333333
1747,217.116666666667
1262,297.746666666667
1550,230.526666666667
1041,157.01
1893,228.87
118,191.536666666667
1518,250.433333333333
1053,168.0
522,152.273333333333
513,152.99
81,190.216666666667
1629,237.376666666667
777,122.936666666667
1061,258.686666666667
380,204.246666666667
1915,225.213333333333
1753,214.92
84,190.266666666667
1741,217.173333333333
672,120.76
329,203.026666666667
6,191.613333333333
1472,282.143333333333
857,149.696666666667
976,109.133333333333
1546,234.816666666667
451,211.103333333333
490,173.786666666667
1651,235.11
287,200.776666666667
1835,237.18
87,190.323333333333
1420,306.14
886,146.89
1103,275.71
1887,229.123333333333
1766,216.21
974,105.73
940,124.943333333333
982,108.253333333333
1131,270.513333333333
1712,216.78
327,202.896666666667
442,228.76
1258,295.49
1245,289.16
986,109.74
939,126.033333333333
177,193.88
1460,291.076666666667
1290,318.95
86,190.293333333333
1464,288.233333333333
1975,221.803333333333
457,202.176666666667
1900,229.49
54,190.13
1560,230.333333333333
643,123.61
677,118.823333333333
221,196.323333333333
113,191.38
1040,156.5
1274,310.58
1124,271.046666666667
174,193.65
832,149.046666666667
589,133.586666666667
1618,239.483333333333
18,191.21
423,245.753333333333
1530,243.076666666667
285,200.7
1642,235.793333333333
428,237.99
1568,231.383333333333
1384,298.273333333333
669,121.76
31,190.696666666667
1005,122.453333333333
722,119.83
1185,274.066666666667
214,195.893333333333
1487,278.696666666667
1292,320.296666666667
1627,237.66
326,202.856666666667
560,142.32
1157,280.173333333333
700,106.18
1854,234.303333333333
1234,283.883333333333
341,203.513333333333
629,132.26
147,192.703333333333
1242,287.743333333333
360,204.03
83,190.243333333333
48,190.01
468,193.403333333333
155,192.883333333333
1693,224.406666666667
1073,269.263333333333
1375,301.13
1456,294.21
1794,219.57
1690,226.406666666667
500,160.85
1831,235.846666666667
179,194.006666666667
1089,277.816666666667
1822,232.416666666667
1044,158.863333333333
938,127.056666666667
1280,317.626666666667
1679,229.12
528,154.046666666667
346,203.693333333333
1441,297.573333333333
2038,207.886666666667
1985,223.04
385,204.33
1013,126.673333333333
1057,257.266666666667
601,140.2
1091,277.3
243,197.84
952,102.343333333333
802,133.85
1110,274.353333333333
1810,226.736666666667
312,201.68
435,235.32
1974,221.506666666667
997,117.153333333333
308,201.55
430,238.16
660,120.106666666667
370,204.146666666667
566,140.286666666667
1605,241.456666666667
1037,154.573333333333
824,132.566666666667
181,194.09
1623,238.61
621,133.34
873,145.513333333333
1237,285.26
1018,127.926666666667
813,133.186666666667
1477,281.986666666667
1913,225.743333333333
984,110.253333333333
1116,273.88
296,200.91
963,99.7
461,198.43
1351,315.783333333333
1221,287.973333333333
377,204.226666666667
798,132.483333333333
1764,217.14
105,191.036666666667
126,191.813333333333
962,98.5133333333333
1910,225.81
1175,278.263333333333
1519,249.423333333333
355,203.99
1676,228.976666666667
682,117.186666666667
1624,238.2
867,146.51
1316,307.77
209,195.626666666667
1564,230.316666666667
140,192.496666666667
1493,272.33
1668,232.363333333333
1102,275.93
1959,224.12
1315,308.603333333333
907,153.156666666667
1850,234.963333333333
711,105.686666666667
1314,309.19
925,54.9933333333333
1744,217.946666666667
1710,216.78
1857,234.013333333333
10,191.443333333333
1982,222.596666666667
1226,288.566666666667
282,200.576666666667
810,135.45
1701,219.913333333333
291,200.826666666667
754,129.616666666667
626,132.79
1421,305.956666666667
1270,306.016666666667
129,191.913333333333
1220,287.67
843,148.786666666667
323,202.65
1133,270.94
1106,275.05
1027,144.4
1938,225.763333333333
926,124.256666666667
1580,233.926666666667
695,110.053333333333
215,195.963333333333
1334,308.96
1084,277.03
1309,313.253333333333
158,193.006666666667
1265,300.306666666667
1137,271.143333333333
1054,255.665
1726,212.046666666667
841,148.833333333333
634,131.933333333333
516,150.65
1885,229.016666666667
1851,234.5
597,138.916666666667
195,194.816666666667
1703,218.896666666667
931,135.203333333333
410,289.743333333333
96,190.673333333333
440,232.633333333333
1754,215.1
156,192.926666666667
419,256.146666666667
922,140.976666666667
1873,230.63
477,191.613333333333
1929,226.573333333333
668,122.1
1329,311.883333333333
1946,224.583333333333
1475,281.926666666667
447,219.296666666667
553,152.01
178,193.956666666667
390,204.376666666667
578,136.373333333333
1055,255.77
1771,214.203333333333
1335,308.54
1704,217.886666666667
1904,228.68
820,133.62
1896,228.95
1404,306.77
1090,277.67
664,121.94
142,192.626666666667
1575,231.346666666667
1901,229.186666666667
864,146.823333333333
421,250.843333333333
636,130.956666666667
1781,213.176666666667
799,132.856666666667
1506,261.5
615,139.48
294,200.88
985,110.27
1552,230.706666666667
1978,221.993333333333
88,190.353333333333
41,190.253333333333
1872,230.763333333333
2011,224.566666666667
131,192.0
1050,164.796666666667
409,297.786666666667
1112,274.05
1928,226.623333333333
1394,295.476666666667
1557,230.223333333333
164,193.333333333333
724,121.46
290,200.816666666667
1187,273.96
1594,241.453333333333
1972,221.706666666667
1418,305.403333333333
1412,306.036666666667
778,122.73
839,148.48
348,203.816666666667
2022,214.85
571,138.693333333333
917,153.28
1034,152.143333333333
1962,222.67
1526,245.126666666667
1650,235.04
994,114.786666666667
1366,302.893333333333
1917,225.25
136,192.21
458,200.906666666667
375,204.186666666667
1391,295.303333333333
333,203.2
1355,314.643333333333
1204,280.826666666667
2000,224.046666666667
1827,234.226666666667
1514,254.403333333333
816,134.263333333333
1159,280.286666666667
605,140.983333333333
1930,226.54
549,151.496666666667
1637,237.02
910,156.25
1969,221.866666666667
2007,226.726666666667
1170,279.256666666667
328,202.936666666667
1339,307.956666666667
318,202.223333333333
1588,240.766666666667
1607,241.606666666667
1799,218.813333333333
167,193.413333333333
12,191.41
2004,226.02
171,193.53
260,199.193333333333
1259,295.913333333333
1465,287.666666666667
901,148.82
258,199.04
844,148.373333333333
138,192.37
319,202.306666666667
1990,222.78
2013,223.773333333333
1222,288.43
558,143.733333333333
139,192.436666666667
1801,217.67
531,154.173333333333
224,196.51
723,120.656666666667
1782,213.186666666667
325,202.803333333333
1310,312.406666666667
714,110.213333333333
846,148.21
193,194.71
573,137.63
946,116.493333333333
503,159.633333333333
1352,315.643333333333
1208,282.346666666667
1855,233.976666666667
3,191.703333333333
1870,231.313333333333
467,195.123333333333
5,191.653333333333
2025,210.94
547,151.203333333333
228,196.766666666667
542,152.97
242,197.78
898,147.283333333333
1178,276.876666666667
1305,317.89
1177,277.68
842,148.716666666667
1474,282.086666666667
1602,241.753333333333
2047,202.243333333333
661,120.84
1299,324.953333333333
314,201.826666666667
691,112.823333333333
1562,230.22
424,242.183333333333
594,132.436666666667
2041,205.953333333333
622,132.573333333333
1649,234.73
1085,277.42
227,196.703333333333
1935,226.75
1380,298.33
1843,238.43
66,190.146666666667
24,191.023333333333
144,192.68
536,154.0
811,131.96
1164,281.06
85,190.276666666667
1381,298.273333333333
1228,287.47
1113,273.62
1875,230.456666666667
1889,229.116666666667
1424,306.813333333333
1189,275.163333333333
362,204.053333333333
1671,231.783333333333
1358,312.163333333333
1026,143.03
1030,148.296666666667
1263,298.403333333333
1405,307.013333333333
1581,234.56
665,121.796666666667
364,204.07
77,190.2
27,190.886666666667
1492,272.926666666667
525,154.106666666667
1906,227.8
55,190.156666666667
638,129.426666666667
302,201.236666666667
718,115.4
624,132.75
7,191.563333333333
803,133.976666666667
1049,163.736666666667
336,203.316666666667
47,190.0
1538,240.833333333333
106,191.076666666667
349,203.846666666667
1079,275.046666666667
238,197.46
213,195.85
1432,310.42
1723,211.693333333333
793,129.81
1096,276.036666666667
1271,307.28
1383,298.16
1641,236.233333333333
1735,214.32
523,152.93
232,197.056666666667
644,122.813333333333
1566,230.776666666667
533,154.35
1567,231.026666666667
603,141.036666666667
1255,293.196666666667
1074,270.663333333333
1353,315.433333333333
60,190.18
1612,240.72
92,190.506666666667
666,121.716666666667
280,200.453333333333
1718,214.71
359,204.013333333333
1173,278.393333333333
1319,306.083333333333
847,148.126666666667
1874,230.613333333333
110,191.2
42,190.226666666667
125,191.78
204,195.333333333333
52,190.053333333333
545,152.3
68,190.156666666667
1181,275.066666666667
1606,241.54
183,194.203333333333
137,192.28
899,147.53
796,131.823333333333
132,192.006666666667
80,190.23
1541,238.843333333333
1599,241.783333333333
541,153.19
1654,235.103333333333
983,108.31
165,193.356666666667
248,198.156666666667
446,220.95
1193,276.67
858,149.65
1824,232.703333333333
97,190.706666666667
805,134.32
737,133.396666666667
1303,320.22
102,190.956666666667
434,235.843333333333
74,190.2
1860,233.276666666667
1247,290.14
918,153.31
1776,213.743333333333
1995,222.48
1680,229.393333333333
762,126.16
989,109.6
388,204.35
235,197.256666666667
1565,230.713333333333
267,199.696666666667
1232,284.823333333333
117,191.493333333333
1666,233.253333333333
673,120.326666666667
249,198.223333333333
1509,259.456666666667
2059,205.363333333333
94,190.593333333333
33,190.603333333333
1521,247.326666666667
1731,213.763333333333
448,217.753333333333
716,113.053333333333
1488,277.423333333333
1576,231.24
0,191.83
1427,307.213333333333
1101,276.503333333333
1108,274.696666666667
1272,308.383333333333
82,190.226666666667
1336,308.05
676,119.113333333333
1507,260.65
1046,160.526666666667
770,123.203333333333
1261,296.94
1328,312.223333333333
1639,236.483333333333
1547,233.86
404,204.44
1793,219.703333333333
1347,316.933333333333
1389,295.43
104,191.02
688,114.75
1848,236.146666666667
826,132.206666666667
1240,286.46
62,190.146666666667
852,149.583333333333
1403,306.23
223,196.466666666667
145,192.7
1088,278.046666666667
373,204.19
1476,281.896666666667
1142,274.166666666667
1898,229.616666666667
1553,230.953333333333
1791,218.583333333333
1318,305.783333333333
9,191.473333333333
449,215.36
708,103.21
255,198.81
882,146.493333333333
389,204.36
908,154.64
924,141.653333333333
1834,236.84
1278,315.983333333333
460,198.993333333333
1317,306.483333333333
1765,216.7
1168,279.153333333333
958,99.8866666666667
501,160.263333333333
739,133.29
1923,226.393333333333
868,146.436666666667
731,127.483333333333
539,153.95
1201,279.396666666667
697,108.226666666667
1446,294.956666666667
1429,309.083333333333
1145,274.92
1031,149.543333333333
372,204.17
667,122.016666666667
2039,207.09
357,204.006666666667
967,101.79
783,125.84
735,134.143333333333
1035,153.223333333333
970,102.536666666667
1583,236.443333333333
1545,235.776666666667
1833,236.616666666667
1582,235.233333333333
1839,238.363333333333
1549,231.43
1702,219.47
1252,291.766666666667
1758,215.516666666667
1780,212.983333333333
1236,284.886666666667
885,146.743333333333
79,190.21
1172,278.576666666667
814,133.96
1333,309.356666666667
671,121.266666666667
2024,212.156666666667
57,190.173333333333
133,192.05
1140,272.793333333333
933,131.956666666667
1961,223.15
823,132.69
1214,285.886666666667
504,159.41
2018,219.816666666667
347,203.783333333333
386,204.33
1024,140.016666666667
894,145.593333333333
828,132.26
1968,221.256666666667
475,192.536666666667
2021,216.263333333333
1503,264.603333333333
1461,290.25
652,117.876666666667
172,193.58
1149,277.043333333333
38,190.353333333333
713,109.176666666667
90,190.426666666667
2014,223.58
1205,281.583333333333
875,145.633333333333
1401,304.9
1965,221.623333333333
1093,276.643333333333
1155,279.413333333333
1324,309.766666666667
1414,305.96
2036,208.72
499,163.066666666667
338,203.41
1188,274.406666666667
28,190.846666666667
1217,287.516666666667
1374,301.67
1892,229.08
945,116.783333333333
169,193.46
2019,218.693333333333
1197,278.303333333333
1253,292.106666666667
1452,294.866666666667
912,157.173333333333
491,172.483333333333
953,102.523333333333
1097,276.13
1032,150.123333333333
587,134.176666666667
750,130.203333333333
657,118.66
234,197.183333333333
732,128.043333333333
2056,200.71
1692,224.92
1156,279.94
1684,229.996666666667
1480,282.98
1687,228.706666666667
934,131.186666666667
1209,282.853333333333
1065,261.68
108,191.12
1601,241.97
568,140.036666666667
1167,279.316666666667
1174,278.466666666667
890,146.563333333333
947,116.66
1048,162.543333333333
1402,305.516666666667
1423,306.413333333333
1502,265.723333333333
884,146.74
1736,214.343333333333
2001,224.536666666667
850,148.763333333333
734,129.596666666667
717,114.323333333333
454,206.726666666667
264,199.483333333333
75,190.196666666667
1720,213.916666666667
444,224.626666666667
395,204.44
176,193.816666666667
1042,157.59
1802,217.863333333333
1455,294.186666666667
1569,231.65
1433,310.556666666667
595,133.73
61,190.166666666667
1296,323.47
872,145.75
1548,232.613333333333
1953,224.796666666667
278,200.363333333333
1392,295.726666666667
36,190.486666666667
1574,231.336666666667
662,121.526666666667
1877,230.296666666667
1600,241.713333333333
977,109.35
1630,237.243333333333
738,133.383333333333
191,194.59
919,140.03
456,203.36
1417,306.113333333333
675,119.53
760,126.91
1878,230.006666666667
1662,234.083333333333
728,124.546666666667
1399,297.233333333333
412,274.79
1098,276.486666666667
825,132.493333333333
1555,230.866666666667
616,136.29
114,191.42
417,263.043333333333
1986,222.786666666667
969,102.503333333333
604,141.226666666667
1996,222.603333333333
89,190.383333333333
848,148.71
1578,231.733333333333
1994,222.16
753,129.823333333333
498,164.163333333333
1276,314.106666666667
1325,310.433333333333
11,191.426666666667
396,204.45
284,200.666666666667
1066,262.4
1191,275.823333333333
1440,298.563333333333
1811,227.913333333333
1450,294.683333333333
690,113.46
1691,225.756666666667
1950,225.033333333333
689,114.133333333333
851,149.2
159,193.06
895,146.03
1738,215.24
257,198.966666666667
335,203.263333333333
1991,222.903333333333
1039,155.546666666667
515,150.99
1348,316.746666666667
1015,127.27
768,123.25
1813,229.323333333333
761,126.76
1246,289.683333333333
1203,279.95
1525,245.64
1123,271.523333333333
521,151.98
22,191.09
356,203.993333333333
1277,315.103333333333
1312,310.993333333333
1746,217.23
340,203.48
431,239.166666666667
473,195.295
217,196.093333333333
911,157.083333333333
1227,288.063333333333
1655,234.7
1011,125.573333333333
2027,208.91
93,190.546666666667
1008,123.716666666667
1070,265.983333333333
1092,276.873333333333
1644,235.483333333333
1308,313.823333333333
696,109.08
1865,233.033333333333
996,115.936666666667
1458,293.203333333333
153,192.78
1099,276.823333333333
1783,213.456666666667
2062,211.19
789,129.386666666667
580,135.316666666667
1470,283.16
703,104.333333333333
1212,284.04
1295,323.046666666667
1729,212.663333333333
1260,296.41
487,177.65
559,142.72
1141,273.603333333333
1119,273.22
801,133.653333333333
512,153.79
633,132.366666666667
1537,241.01
1856,233.996666666667
1604,241.61
1150,277.27
790,129.56
116,191.453333333333
1497,270.013333333333
740,133.13
1755,215.363333333333
1081,275.703333333333
830,149.873333333333
119,191.573333333333
656,118.153333333333
1983,222.656666666667
635,131.39
369,204.13
268,199.75
655,117.743333333333
935,130.936666666667
822,133.04
866,146.663333333333
46,190.036666666667
1373,301.993333333333
1773,213.543333333333
991,112.006666666667
876,145.78
773,123.126666666667
1219,287.666666666667
1126,271.086666666667
4,191.676666666667
1003,121.24
1789,217.4
263,199.413333333333
1628,237.463333333333
1902,228.953333333333
443,226.396666666667
1002,120.99
1077,273.78
837,148.713333333333
1859,233.67
304,201.34
1365,304.426666666667
1616,239.643333333333
313,201.746666666667
149,192.733333333333
1148,276.58
1213,284.63
574,137.22
50,190.02
1611,240.87
726,122.826666666667
833,149.02
1377,299.476666666667
1115,273.74
1166,280.303333333333
470,190.793333333333
971,102.596666666667
653,117.176666666667
399,204.48
511,154.646666666667
320,202.413333333333
19,191.146666666667
684,116.303333333333
35,190.523333333333
902,149.68
1846,237.246666666667
827,132.25
1867,232.176666666667
407,396.23
920,141.026666666667
537,154.183333333333
758,127.236666666667
1980,222.3
1062,259.75
1199,278.77
245,197.973333333333
1416,306.726666666667
1127,270.7
784,126.566666666667
1809,225.746666666667
489,175.213333333333
154,192.826666666667
961,97.9466666666667
853,149.593333333333
1311,311.666666666667
625,132.756666666667
685,115.926666666667
1620,239.116666666667
569,139.543333333333
1984,222.943333333333
17,191.273333333333
127,191.84
1346,315.513333333333
1279,317.016666666667
2046,202.496666666667
927,133.813333333333
980,109.07
2042,205.28
190,194.533333333333
1139,271.893333333333
992,111.636666666667
2033,209.963333333333
1719,214.23
606,140.69
180,194.04
301,201.183333333333
496,165.99
1760,215.84
1774,213.42
1724,211.613333333333
1931,226.64
517,150.9
1396,295.85
1069,265.146666666667
476,192.576666666667
157,192.97
1243,288.54
1195,277.393333333333
16,191.306666666667
1535,241.433333333333
1072,268.16
2049,202.156666666667
546,151.97
1539,240.223333333333
658,119.236666666667
2052,200.84
1019,128.973333333333
1963,222.343333333333
1504,263.526666666667
959,100.22
1957,224.633333333333
283,200.613333333333
1632,236.936666666667
797,132.446666666667
1686,229.59
225,196.563333333333
26,190.926666666667
1838,237.92
437,233.8
2026,209.916666666667
1388,296.263333333333
229,196.82
37,190.43
749,130.303333333333
1045,159.463333333333
1398,295.25
469,191.49
1876,230.293333333333
2045,203.106666666667
687,114.953333333333
1916,225.396666666667
639,128.206666666667
1777,213.713333333333
1218,287.703333333333
1158,280.143333333333
1415,306.436666666667
1527,244.583333333333
1717,215.096666666667
1300,324.57
1894,229.03
800,133.446666666667
1603,241.866666666667
160,193.16
956,102.113333333333
1186,273.863333333333
821,133.246666666667
1745,217.613333333333
877,145.826666666667
913,157.49
152,192.76
1909,226.24
1844,238.073333333333
509,156.49
1135,271.32
1250,291.86
1727,212.27
103,190.983333333333
1445,295.076666666667
1443,295.636666666667
1805,221.423333333333
586,134.523333333333
1954,224.706666666667
1696,222.896666666667
1143,274.18
53,190.11
151,192.753333333333
403,204.46
2020,217.72
207,195.533333333333
1970,221.756666666667
1682,229.886666666667
1122,271.846666666667
1817,230.403333333333
8,191.503333333333
1014,126.863333333333
1866,232.756666666667
1060,258.153333333333
452,209.566666666667
1675,229.64
253,198.663333333333
1327,311.843333333333
896,146.53
1800,218.36
880,145.763333333333
1595,242.023333333333
1964,221.773333333333
623,132.123333333333
345,203.653333333333
1767,215.94
262,199.34
1634,236.72
1321,307.803333333333
1438,307.39
150,192.746666666667
472,190.796666666667
640,127.11
871,145.856666666667
1958,224.533333333333
550,151.516666666667
1847,236.52
928,137.456666666667
488,176.28
1734,214.17
1882,229.27
1171,278.883333333333
146,192.71
1769,214.763333333333
2006,226.846666666667
402,204.48
954,101.813333333333
1952,224.863333333333
659,119.71
1372,302.276666666667
463,197.833333333333
1349,316.223333333333
186,194.323333333333
1147,275.91
1224,288.993333333333
608,140.52
143,192.66
751,130.01
1534,241.926666666667
981,108.47
197,194.93
1633,236.673333333333
883,146.8
279,200.41
293,200.856666666667
1907,227.293333333333
400,204.48
122,191.663333333333
1207,282.053333333333
202,195.233333333333
1462,289.366666666667
835,149.073333333333
246,198.033333333333
1439,300.51
1733,214.27
1820,232.006666666667
1977,221.766666666667
1707,217.296666666667
1956,224.846666666667
1153,278.78
1661,234.026666666667
1426,307.016666666667
384,204.32
1825,233.003333333333
1759,215.51
854,149.826666666667
1589,241.426666666667
219,196.21
641,126.123333333333
1,191.786666666667
112,191.34
698,107.543333333333
1992,222.913333333333
951,102.16
1648,234.64
1636,237.186666666667
1815,229.75
1410,305.943333333333
1409,306.186666666667
1533,242.103333333333
1291,319.616666666667
1879,229.47
441,232.15
1520,248.22
1136,271.296666666667
1715,215.923333333333
1256,294.15
1937,225.726666666667
1631,237.12
1695,223.18
1397,295.523333333333
663,121.74
1908,226.903333333333
1257,294.706666666667
1841,239.39
1700,220.43
317,202.156666666667
648,119.976666666667
1434,310.986666666667
1479,283.023333333333
709,104.126666666667
1382,298.456666666667
1282,318.21
1768,215.253333333333
972,102.86
627,132.686666666667
632,132.36
1306,316.736666666667
1400,303.71
1408,306.55
1248,290.71
2030,208.9
1254,292.716666666667
1496,270.423333333333
1371,302.126666666667
1529,243.433333333333
1663,234.17
1354,315.106666666667
1821,232.113333333333
2003,225.656666666667
1976,221.903333333333
1643,235.576666666667
1922,226.48
795,131.7
645,122.013333333333
1012,126.136666666667
1912,225.826666666667
556,150.42
681,117.633333333333
577,136.77
1819,231.246666666667
1109,274.653333333333
1266,301.34
1722,212.766666666667
1942,225.116666666667
1183,275.133333333333
524,153.473333333333
1059,257.876666666667
540,153.456666666667
1194,276.956666666667
1678,229.176666666667
748,130.736666666667
1925,226.683333333333
1430,309.616666666667
484,181.906666666667
1757,215.143333333333
95,190.63
1020,131.74
563,140.663333333333
1264,299.346666666667
742,132.33
863,147.15
1598,241.733333333333
1714,216.42
1484,281.94
891,145.69
1577,231.256666666667
1881,229.02
1038,154.993333333333
206,195.433333333333
392,204.403333333333
794,130.646666666667
870,145.91
397,204.456666666667
766,124.833333333333
1914,225.266666666667
1241,287.146666666667
1028,145.213333333333
1792,219.306666666667
642,124.756666666667
1967,221.106666666667
612,140.09
1762,216.673333333333
960,99.47
1570,231.576666666667
725,122.28
1989,222.673333333333
683,116.75
98,190.75
804,134.02
1751,215.65
1597,241.896666666667
406,204.43
502,159.816666666667
1071,267.146666666667
1056,256.903333333333
929,137.196666666667
779,123.016666666667
1863,233.61
200,195.113333333333
134,192.1
1051,166.096666666667
40,190.286666666667
1017,127.983333333333
230,196.9
1513,255.49
1796,219.78
378,204.23
288,200.786666666667
418,258.806666666667
1698,221.773333333333
391,204.393333333333
592,133.13
1522,246.803333333333
1162,281.02
1086,277.733333333333
1495,271.016666666667
647,120.646666666667
1152,277.98
1367,302.61
520,151.55
1862,233.433333333333
1880,229.406666666667
64,190.13
1836,237.49
14,191.35
1180,275.353333333333
1064,261.013333333333
492,170.816666666667
379,204.233333333333
187,194.376666666667
763,125.666666666667
216,196.026666666667
1945,224.833333333333
791,129.606666666667
1076,272.866666666667
878,145.723333333333
337,203.353333333333
1772,213.693333333333
719,116.393333333333
1748,216.81
295,200.9
1725,211.756666666667
1016,127.473333333333
1275,311.683333333333
1750,215.643333333333
1485,280.71
455,204.793333333333
2061,209.7
815,134.36
1886,229.206666666667
269,199.803333333333
995,115.3
201,195.173333333333
161,193.216666666667
1579,232.0
729,125.286666666667
401,204.473333333333
702,104.786666666667
1500,267.456666666667
1845,237.666666666667
1795,219.733333333333
1129,270.5
565,140.436666666667
1413,306.106666666667
1021,134.723333333333
1025,141.453333333333
1411,305.953333333333
1895,228.923333333333
1585,238.296666666667
1955,224.63
1104,275.756666666667
205,195.386666666667
34,190.556666666667
1966,221.17
775,123.02
508,158.2
1451,294.81
1478,282.446666666667
2048,202.34
1390,295.396666666667
91,190.456666666667
1363,306.97
897,146.81
564,140.283333333333
1369,302.403333333333
776,122.96
241,197.72
13,191.38
315,201.96
600,139.853333333333
387,204.343333333333
1297,324.26
166,193.383333333333
840,148.586666666667
20,191.123333333333
646,121.276666666667
1842,238.93
1508,260.103333333333
1154,279.096666666667
1528,244.083333333333
831,149.42
1267,302.503333333333
1590,241.446666666667
1899,229.596666666667
562,141.32
2029,208.683333333333
686,115.376666666667
957,100.123333333333
189,194.48
1806,222.91
975,107.053333333333
699,107.1
1499,267.993333333333
1705,217.583333333333
510,155.596666666667
1082,276.246666666667
474,193.81
1584,237.413333333333
856,149.803333333333
747,130.49
252,198.513333333333
21,191.11
1337,307.753333333333
459,199.756666666667
1184,274.99
276,200.246666666667
955,102.343333333333
1215,286.37
1515,253.236666666667
769,123.1
1685,230.06
130,191.97
1482,283.61
330,203.066666666667
1238,285.67
466,196.11
1638,236.476666666667
1095,276.206666666667
1130,270.376666666667
1294,322.34
