,P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa
577,0,0.0,0.62,3987,0.03,14.44,28.39,98786,27
1076,124793,0.83,431.24,320818,2.14,1106.17,26.33,98433,35
2031,0,0.0,0.62,54409,0.36,188.79,20.83,98131,50
1437,0,0.0,0.62,54207,0.36,188.09,23.52,98344,42
1772,0,0.0,0.62,0,0.0,0.62,22.03,98171,45
280,31443,0.21,109.47,286965,1.91,989.23,17.14,98908,84
31,0,0.0,0.62,264318,1.76,911.14,18.89,98861,75
655,0,0.0,0.62,90799,0.61,314.24,28.94,98784,29
241,56142,0.37,194.77,505350,3.37,1751.43,17.25,98912,85
140,172661,1.15,595.82,294241,1.96,1014.34,18.46,98926,79
1004,0,0.0,0.62,0,0.0,0.62,32.47,98432,23
1062,0,0.0,0.62,0,0.0,0.62,26.5,98430,34
1576,0,0.0,0.62,0,0.0,0.62,22.91,98282,42
1972,0,0.0,0.62,0,0.0,0.62,20.85,98143,49
415,0,0.0,0.62,0,0.0,0.62,26.62,98894,45
499,0,0.0,0.62,7807,0.05,27.67,27.56,98800,35
251,0,0.0,0.62,105578,0.7,365.12,17.23,98905,85
946,0,0.0,0.62,0,0.0,0.62,31.73,98499,22
746,0,0.0,0.62,17154,0.11,60.04,27.13,98792,31
1995,0,0.0,0.62,0,0.0,0.62,20.91,98138,49
1180,0,0.0,0.62,0,0.0,0.62,25.43,98438,39
1817,46694,0.31,162.16,187685,1.25,647.47,21.96,98155,46
642,0,0.0,0.62,242844,1.62,837.19,29.08,98774,27
1752,0,0.0,0.62,0,0.0,0.62,22.23,98178,44
918,0,0.0,0.62,0,0.0,0.62,23.15,98952,39
1937,59578,0.4,206.63,118535,0.79,409.71,21.13,98154,47
1517,0,0.0,0.62,68649,0.46,237.91,23.22,98320,40
1448,0,0.0,0.62,79610,0.53,275.7,23.54,98344,42
1214,28356,0.19,98.79,57713,0.38,200.19,24.87,98432,42
846,0,0.0,0.62,15210,0.1,53.31,24.85,98928,37
1425,92411,0.62,319.79,143422,0.96,495.3,23.51,98349,43
1188,0,0.0,0.62,0,0.0,0.62,25.21,98436,40
1483,0,0.0,0.62,1932,0.01,7.32,23.42,98345,41
1401,135320,0.9,467.44,180116,1.2,621.45,23.78,98362,45
1515,0,0.0,0.62,5959,0.04,21.27,23.15,98325,40
1395,0,0.0,0.62,0,0.0,0.62,23.79,98369,45
1750,0,0.0,0.62,77945,0.52,269.96,22.31,98175,44
1927,0,0.0,0.62,0,0.0,0.62,21.24,98154,47
1325,0,0.0,0.62,206993,1.38,713.85,24.33,98408,43
1760,0,0.0,0.62,175023,1.17,603.94,22.12,98170,45
1262,0,0.0,0.62,0,0.0,0.62,24.85,98433,42
1201,0,0.0,0.62,0,0.0,0.62,25.03,98424,41
687,0,0.0,0.62,87630,0.58,303.33,29.0,98786,26
59,0,0.0,0.62,2571,0.02,9.53,18.14,98887,79
631,0,0.0,0.62,119583,0.8,413.32,29.37,98777,28
1973,0,0.0,0.62,112014,0.75,387.27,20.87,98142,49
1947,0,0.0,0.62,34063,0.23,118.52,21.0,98155,48
1616,108528,0.72,375.28,159218,1.06,549.61,22.68,98276,42
157,141713,0.94,489.43,295451,1.97,1018.51,18.22,98922,79
209,362568,2.42,1250.86,903313,6.02,3234.53,17.58,98880,83
421,0,0.0,0.62,33269,0.22,115.78,26.79,98902,43
1234,0,0.0,0.62,34636,0.23,120.5,25.03,98437,42
812,0,0.0,0.62,0,0.0,0.62,25.79,98851,34
1877,0,0.0,0.62,0,0.0,0.62,21.28,98141,46
36,0,0.0,0.62,22832,0.15,79.69,18.64,98865,75
317,237951,1.59,820.35,537700,3.58,1866.49,17.2,98906,85
741,0,0.0,0.62,83898,0.56,290.47,27.27,98794,31
1199,0,0.0,0.62,0,0.0,0.62,25.05,98423,41
1952,0,0.0,0.62,83358,0.56,288.61,21.01,98149,48
579,0,0.0,0.62,0,0.0,0.62,28.4,98789,27
764,0,0.0,0.62,0,0.0,0.62,26.46,98805,33
1629,0,0.0,0.62,318660,2.12,1098.7,22.67,98264,42
430,41852,0.28,145.43,1646356,10.98,6704.64,26.74,98897,41
1683,58046,0.39,201.34,124278,0.83,429.47,22.37,98202,43
362,59035,0.39,204.75,147799,0.99,510.35,17.28,98926,82
1500,0,0.0,0.62,72892,0.49,252.54,23.29,98340,41
277,0,0.0,0.62,145777,0.97,503.4,17.17,98909,84
1838,0,0.0,0.62,83850,0.56,290.3,21.68,98151,46
424,33626,0.22,117.01,207196,1.38,714.55,26.72,98897,42
85,0,0.0,0.62,110801,0.74,383.1,18.58,98912,78
949,0,0.0,0.62,0,0.0,0.62,31.78,98501,21
1150,0,0.0,0.62,101265,0.68,350.28,25.62,98427,38
1522,343821,2.29,1185.81,686736,4.58,2407.21,23.23,98319,40
485,7050,0.05,25.05,171944,1.15,593.36,27.63,98781,36
739,140165,0.93,484.1,186463,1.24,643.27,27.37,98788,30
1293,0,0.0,0.62,0,0.0,0.62,24.23,98418,43
874,0,0.0,0.62,9147,0.06,32.32,24.41,98950,37
1698,0,0.0,0.62,0,0.0,0.62,22.29,98192,44
1936,0,0.0,0.62,0,0.0,0.62,21.14,98154,47
1192,0,0.0,0.62,0,0.0,0.62,25.21,98430,40
1914,79644,0.53,275.81,151588,1.01,523.38,21.29,98152,47
1472,0,0.0,0.62,17408,0.12,60.92,23.59,98340,41
49,0,0.0,0.62,109682,0.73,379.25,18.4,98886,77
1387,0,0.0,0.62,0,0.0,0.62,23.68,98366,45
1653,0,0.0,0.62,64335,0.43,223.04,22.62,98240,42
442,82051,0.55,284.11,459814,3.07,1590.62,27.46,98885,42
484,0,0.0,0.62,74685,0.5,258.72,27.61,98781,35
514,0,0.0,0.62,18064,0.12,63.19,27.53,98780,32
394,10025,0.07,35.36,240189,1.6,828.05,17.23,98925,83
1874,147495,0.98,509.31,229046,1.53,789.7,21.29,98141,46
290,33099,0.22,115.19,557859,3.72,1938.56,17.13,98911,84
2022,0,0.0,0.62,0,0.0,0.62,20.91,98120,50
1815,0,0.0,0.62,0,0.0,0.62,21.92,98154,46
664,0,0.0,0.62,0,0.0,0.62,28.78,98788,27
693,0,0.0,0.62,0,0.0,0.62,29.0,98784,26
1288,115525,0.77,399.36,441513,2.94,1526.33,24.15,98424,43
348,0,0.0,0.62,144443,0.96,498.81,17.2,98910,84
864,0,0.0,0.62,25285,0.17,88.17,24.57,98939,37
673,38919,0.26,135.3,100627,0.67,348.08,28.85,98782,28
495,0,0.0,0.62,34730,0.23,120.83,27.55,98800,35
393,88196,0.59,305.28,356885,2.38,1231.13,17.22,98927,82
1568,0,0.0,0.62,33697,0.22,117.26,22.97,98291,41
1405,0,0.0,0.62,0,0.0,0.62,23.78,98359,44
144,0,0.0,0.62,150282,1.0,518.89,18.38,98924,79
1181,0,0.0,0.62,66767,0.45,231.42,25.34,98439,39
502,0,0.0,0.62,0,0.0,0.62,27.52,98796,35
336,0,0.0,0.62,200085,1.33,690.1,17.24,98913,84
46,125525,0.84,433.76,174682,1.16,602.77,18.56,98879,76
1421,0,0.0,0.62,0,0.0,0.62,23.57,98352,43
1492,0,0.0,0.62,138536,0.92,478.5,23.26,98340,41
620,0,0.0,0.62,0,0.0,0.62,29.69,98772,28
523,0,0.0,0.62,0,0.0,0.62,27.74,98772,31
1555,0,0.0,0.62,0,0.0,0.62,23.12,98298,40
1558,0,0.0,0.62,1259,0.01,4.98,23.08,98296,41
772,0,0.0,0.62,21579,0.14,75.35,26.36,98819,33
1828,0,0.0,0.62,114772,0.77,396.76,21.82,98151,46
200,97901,0.65,338.7,337915,2.25,1165.35,17.76,98879,82
311,70457,0.47,244.15,454942,3.03,1573.49,17.2,98908,85
2033,0,0.0,0.62,3020,0.02,11.09,20.75,98130,51
1809,135904,0.91,469.45,314720,2.1,1085.08,21.92,98151,46
706,0,0.0,0.62,0,0.0,0.62,29.28,98783,26
1863,0,0.0,0.62,199212,1.33,687.1,21.44,98143,46
112,70098,0.47,242.91,386368,2.58,1333.62,18.43,98922,78
755,0,0.0,0.62,46554,0.31,161.67,26.71,98799,33
1765,0,0.0,0.62,0,0.0,0.62,22.08,98171,45
601,0,0.0,0.62,0,0.0,0.62,29.48,98780,27
1894,327692,2.18,1129.95,532978,3.55,1849.65,21.23,98144,46
411,0,0.0,0.62,132601,0.88,458.09,26.42,98904,45
519,0,0.0,0.62,0,0.0,0.62,27.68,98776,31
1789,0,0.0,0.62,135263,0.9,467.25,21.89,98167,46
1391,0,0.0,0.62,261745,1.74,902.28,23.74,98366,45
531,0,0.0,0.62,0,0.0,0.62,27.74,98778,32
1948,0,0.0,0.62,0,0.0,0.62,21.03,98156,48
1639,99704,0.66,344.9,149315,1.0,515.56,22.7,98246,42
320,0,0.0,0.62,158596,1.06,547.47,17.21,98903,85
1697,0,0.0,0.62,53576,0.36,185.92,22.32,98194,43
1260,0,0.0,0.62,0,0.0,0.62,24.75,98431,42
836,0,0.0,0.62,2513,0.02,9.33,25.06,98924,37
146,0,0.0,0.62,159653,1.06,551.11,18.38,98921,78
1376,0,0.0,0.62,18349,0.12,64.18,23.87,98367,44
537,0,0.0,0.62,0,0.0,0.62,27.58,98774,32
550,77265,0.52,267.61,279453,1.86,963.31,27.84,98779,29
1358,0,0.0,0.62,0,0.0,0.62,24.08,98369,44
596,0,0.0,0.62,0,0.0,0.62,29.17,98766,27
681,0,0.0,0.62,46365,0.31,161.02,28.82,98782,27
487,0,0.0,0.62,0,0.0,0.62,27.61,98785,36
350,74407,0.5,257.76,464930,3.1,1608.63,17.2,98910,84
1830,0,0.0,0.62,168,0.0,1.2,21.8,98158,46
646,0,0.0,0.62,38023,0.25,132.21,29.16,98769,27
1665,0,0.0,0.62,0,0.0,0.62,22.36,98218,43
1668,0,0.0,0.62,105974,0.71,366.49,22.31,98214,43
1557,0,0.0,0.62,51249,0.34,177.88,23.03,98298,41
1667,0,0.0,0.62,0,0.0,0.62,22.38,98218,43
920,0,0.0,0.62,0,0.0,0.62,22.46,98939,39
335,2147,0.01,8.06,580163,3.87,2018.65,17.24,98917,84
321,140838,0.94,486.42,562428,3.75,1954.93,17.22,98902,85
1063,0,0.0,0.62,106288,0.71,367.57,26.53,98429,34
1240,0,0.0,0.62,68145,0.45,236.17,24.92,98430,42
612,0,0.0,0.62,150035,1.0,518.04,29.82,98770,25
1097,0,0.0,0.62,151315,1.01,522.44,26.5,98446,35
720,0,0.0,0.62,0,0.0,0.62,28.98,98785,29
1436,0,0.0,0.62,65688,0.44,227.7,23.48,98339,43
787,0,0.0,0.62,0,0.0,0.62,26.18,98818,34
1191,0,0.0,0.62,47354,0.32,164.44,25.18,98433,40
530,0,0.0,0.62,107750,0.72,372.6,27.77,98777,32
1052,0,0.0,0.62,39574,0.26,137.57,32.33,98420,23
401,4407,0.03,15.89,236586,1.58,815.65,17.22,98942,82
663,0,0.0,0.62,168803,1.13,582.56,28.82,98782,27
742,127680,0.85,441.17,300006,2.0,1034.24,27.21,98790,31
1393,0,0.0,0.62,15516,0.1,54.37,23.71,98369,45
792,0,0.0,0.62,76404,0.51,264.65,26.18,98820,34
186,0,0.0,0.62,216079,1.44,745.1,18.1,98898,81
1163,817,0.01,3.45,126057,0.84,435.59,25.51,98435,39
1694,0,0.0,0.62,0,0.0,0.62,22.32,98202,43
1398,0,0.0,0.62,3000,0.02,11.02,23.83,98365,45
724,0,0.0,0.62,162855,1.09,562.11,28.64,98784,28
1308,0,0.0,0.62,90530,0.6,313.32,24.2,98407,44
1397,0,0.0,0.62,118346,0.79,409.06,23.78,98368,45
1957,0,0.0,0.62,0,0.0,0.62,20.97,98149,48
28,62874,0.42,218.0,241889,1.61,833.9,18.98,98863,74
895,0,0.0,0.62,0,0.0,0.62,24.3,98952,38
503,0,0.0,0.62,0,0.0,0.62,27.49,98794,35
738,0,0.0,0.62,0,0.0,0.62,27.41,98788,30
1916,0,0.0,0.62,0,0.0,0.62,21.26,98143,47
1516,0,0.0,0.62,78630,0.52,272.32,23.17,98324,40
1164,0,0.0,0.62,0,0.0,0.62,25.52,98431,39
426,0,0.0,0.62,1565434,10.44,6263.91,26.84,98894,42
613,0,0.0,0.62,159524,1.06,550.66,29.81,98765,26
50,0,0.0,0.62,200489,1.34,691.49,18.37,98886,77
35,0,0.0,0.62,56770,0.38,196.94,18.69,98865,75
600,0,0.0,0.62,0,0.0,0.62,29.44,98772,27
1597,0,0.0,0.62,113850,0.76,393.59,22.76,98278,42
1571,0,0.0,0.62,0,0.0,0.62,22.97,98284,41
43,5588,0.04,19.99,199116,1.33,686.77,18.54,98876,76
386,0,0.0,0.62,112750,0.75,389.81,17.25,98924,83
1691,50135,0.33,174.04,187714,1.25,647.57,22.33,98202,43
1266,0,0.0,0.62,0,0.0,0.62,24.81,98432,42
1365,0,0.0,0.62,0,0.0,0.62,23.84,98363,44
94,215719,1.44,743.86,438206,2.92,1514.73,18.68,98916,78
370,179666,1.2,619.9,520397,3.47,1804.86,17.28,98936,83
887,0,0.0,0.62,0,0.0,0.62,24.39,98948,38
339,0,0.0,0.62,61580,0.41,213.53,17.25,98917,84
1079,0,0.0,0.62,235122,1.57,810.61,26.48,98435,35
1184,0,0.0,0.62,10316,0.07,36.36,25.29,98438,40
1416,0,0.0,0.62,75324,0.5,260.92,23.51,98355,43
1795,76259,0.51,264.15,194442,1.3,670.7,21.78,98165,46
1316,0,0.0,0.62,101502,0.68,351.09,24.32,98404,43
910,0,0.0,0.62,29309,0.2,102.09,24.15,98951,38
1005,0,0.0,0.62,107049,0.71,370.19,32.55,98434,22
1623,0,0.0,0.62,132904,0.89,459.14,22.65,98264,42
1014,0,0.0,0.62,0,0.0,0.62,32.44,98427,23
522,0,0.0,0.62,68888,0.46,238.74,27.71,98773,31
265,205857,1.37,709.94,654645,4.36,2289.12,17.18,98908,84
357,0,0.0,0.62,58614,0.39,203.3,17.23,98919,83
354,227344,1.52,783.85,415589,2.77,1435.55,17.18,98914,83
659,0,0.0,0.62,0,0.0,0.62,28.91,98786,28
1974,0,0.0,0.62,0,0.0,0.62,20.8,98140,49
1907,0,0.0,0.62,0,0.0,0.62,21.3,98148,46
1983,260916,1.74,899.42,368550,2.46,1271.64,20.85,98142,49
1361,0,0.0,0.62,110333,0.74,381.49,24.14,98368,44
1106,0,0.0,0.62,184538,1.23,636.65,26.42,98451,36
1231,0,0.0,0.62,0,0.0,0.62,24.97,98435,42
41,211744,1.41,730.19,494787,3.3,1714.01,18.53,98869,76
1331,0,0.0,0.62,64928,0.43,225.08,24.15,98401,44
1747,0,0.0,0.62,0,0.0,0.62,22.3,98178,44
1190,0,0.0,0.62,50095,0.33,173.9,25.18,98431,40
456,0,0.0,0.62,0,0.0,0.62,27.73,98881,39
494,0,0.0,0.62,0,0.0,0.62,27.55,98796,35
1602,53581,0.36,185.93,194245,1.29,670.02,22.69,98274,42
1112,0,0.0,0.62,80166,0.53,277.61,26.44,98446,36
762,0,0.0,0.62,4113,0.03,14.88,26.49,98804,33
4,153937,1.03,531.46,285021,1.9,982.52,20.2,98868,68
1704,0,0.0,0.62,159292,1.06,549.86,22.4,98192,43
916,0,0.0,0.62,8314,0.06,29.43,23.17,98955,39
136,0,0.0,0.62,47117,0.31,163.62,18.4,98930,80
359,86339,0.58,298.88,552770,3.69,1920.33,17.25,98916,82
45,0,0.0,0.62,42432,0.28,147.44,18.58,98882,76
1491,0,0.0,0.62,77032,0.51,266.81,23.33,98345,41
228,0,0.0,0.62,132646,0.88,458.25,17.64,98898,83
143,40702,0.27,141.46,388422,2.59,1340.77,18.39,98919,79
1105,0,0.0,0.62,85500,0.57,295.99,26.34,98453,36
1432,0,0.0,0.62,0,0.0,0.62,23.43,98344,43
985,0,0.0,0.62,0,0.0,0.62,33.73,98440,21
1326,0,0.0,0.62,49322,0.33,171.23,24.31,98408,43
1366,0,0.0,0.62,0,0.0,0.62,23.88,98364,44
451,0,0.0,0.62,888786,5.93,3177.16,27.48,98878,39
811,0,0.0,0.62,0,0.0,0.62,25.81,98848,34
298,57150,0.38,198.25,325108,2.17,1121.01,17.15,98911,85
1670,0,0.0,0.62,0,0.0,0.62,22.29,98217,43
1859,0,0.0,0.62,37844,0.25,131.59,21.58,98148,46
1019,0,0.0,0.62,44608,0.3,154.95,32.44,98424,23
992,0,0.0,0.62,155215,1.03,535.85,33.24,98438,22
1646,132666,0.88,458.32,189236,1.26,652.8,22.7,98248,42
1991,0,0.0,0.62,97385,0.65,336.92,20.86,98137,49
2047,111842,0.75,386.68,162113,1.08,559.56,20.76,98125,51
827,0,0.0,0.62,41730,0.28,145.01,25.66,98868,35
1990,0,0.0,0.62,0,0.0,0.62,20.87,98136,49
1037,0,0.0,0.62,0,0.0,0.62,32.86,98426,22
402,156141,1.04,539.03,416825,2.78,1439.87,17.23,98942,82
729,0,0.0,0.62,0,0.0,0.62,28.57,98790,29
295,184980,1.23,638.17,798170,5.32,2825.75,17.13,98905,85
1080,98276,0.66,339.99,213138,1.42,734.98,26.51,98436,35
471,0,0.0,0.62,0,0.0,0.62,27.31,98862,41
1788,0,0.0,0.62,0,0.0,0.62,21.89,98162,46
1717,0,0.0,0.62,29413,0.2,102.45,22.49,98193,43
1099,0,0.0,0.62,0,0.0,0.62,26.44,98446,36
1958,0,0.0,0.62,59018,0.39,204.69,20.88,98148,48
37,86404,0.58,299.1,240731,1.6,829.91,18.58,98862,76
33,120891,0.81,417.82,382564,2.55,1320.37,18.77,98861,75
2003,0,0.0,0.62,0,0.0,0.62,21.01,98131,49
443,0,0.0,0.62,236085,1.57,813.92,27.53,98889,42
507,0,0.0,0.62,102201,0.68,353.5,27.51,98788,34
1784,0,0.0,0.62,5130,0.03,18.4,21.88,98160,45
1594,0,0.0,0.62,88908,0.59,307.73,22.79,98276,42
1419,0,0.0,0.62,956,0.01,3.93,23.59,98349,43
341,89414,0.6,309.47,278099,1.85,958.64,17.26,98920,84
712,43314,0.29,150.48,182151,1.21,628.44,29.31,98790,29
1000,0,0.0,0.62,119623,0.8,413.45,32.88,98440,22
633,0,0.0,0.62,58437,0.39,202.69,29.31,98783,27
931,0,0.0,0.62,63585,0.42,220.45,31.96,98508,21
1027,0,0.0,0.62,78862,0.53,273.12,32.34,98423,23
95,91665,0.61,317.22,309543,2.06,1067.19,18.74,98920,77
124,0,0.0,0.62,2599,0.02,9.63,17.99,98923,81
2010,0,0.0,0.62,3540,0.02,12.89,20.85,98131,49
176,0,0.0,0.62,303770,2.03,1047.24,18.1,98894,81
903,0,0.0,0.62,127281,0.85,439.8,24.27,98955,38
1579,0,0.0,0.62,28808,0.19,100.36,22.87,98278,42
1953,0,0.0,0.62,49700,0.33,172.54,21.0,98155,48
814,0,0.0,0.62,0,0.0,0.62,25.78,98853,34
1701,0,0.0,0.62,64320,0.43,222.98,22.37,98193,43
1603,212261,1.42,731.97,311151,2.07,1072.74,22.69,98275,42
1732,0,0.0,0.62,20328,0.14,71.02,22.42,98187,44
197,82243,0.55,284.77,479073,3.19,1658.48,17.81,98884,82
855,0,0.0,0.62,7265,0.05,25.8,24.75,98926,37
1949,0,0.0,0.62,44959,0.3,156.17,21.02,98153,48
1939,0,0.0,0.62,235228,1.57,810.97,21.16,98151,47
2034,0,0.0,0.62,70828,0.47,245.43,20.76,98127,51
102,229689,1.53,791.91,599779,4.0,2089.42,18.9,98916,77
1110,0,0.0,0.62,118645,0.79,410.09,26.44,98450,36
450,364184,2.43,1256.47,1091987,7.28,4009.18,27.58,98889,41
180,37134,0.25,129.14,272325,1.82,938.74,17.98,98896,81
825,0,0.0,0.62,70646,0.47,244.8,25.67,98862,35
960,0,0.0,0.62,0,0.0,0.62,33.18,98456,21
194,0,0.0,0.62,163723,1.09,565.1,17.93,98889,81
538,0,0.0,0.62,0,0.0,0.62,27.57,98781,33
1122,0,0.0,0.62,70141,0.47,243.06,26.3,98451,36
91,73521,0.49,254.71,431181,2.87,1490.11,18.49,98917,78
405,0,0.0,0.62,313981,2.09,1082.53,17.26,98946,82
568,0,0.0,0.62,137033,0.91,473.34,28.16,98778,27
412,0,0.0,0.62,29300,0.2,102.06,26.43,98908,45
1482,0,0.0,0.62,140215,0.93,484.28,23.4,98341,41
205,95002,0.63,328.72,255669,1.7,881.35,17.65,98880,83
425,723931,4.83,2545.39,954095,6.36,3437.48,26.79,98895,43
1785,0,0.0,0.62,89852,0.6,310.98,21.95,98167,45
395,0,0.0,0.62,239950,1.6,827.23,17.22,98927,83
384,136477,0.91,471.42,612842,4.09,2136.73,17.23,98921,83
703,93185,0.62,322.46,189219,1.26,652.74,29.32,98789,26
1540,57672,0.38,200.05,158863,1.06,548.39,23.21,98309,40
61,57480,0.38,199.39,224109,1.49,772.72,18.12,98886,79
213,0,0.0,0.62,239177,1.59,824.56,17.65,98881,83
110,64669,0.43,224.19,347440,2.32,1198.36,18.54,98925,78
255,0,0.0,0.62,322500,2.15,1111.99,17.21,98907,85
2002,0,0.0,0.62,0,0.0,0.62,21.0,98128,49
861,36835,0.25,128.1,133495,0.89,461.17,24.63,98933,38
1551,0,0.0,0.62,0,0.0,0.62,23.26,98301,40
761,0,0.0,0.62,0,0.0,0.62,26.51,98806,33
933,0,0.0,0.62,113789,0.76,393.38,31.92,98506,21
1843,0,0.0,0.62,64411,0.43,223.3,21.61,98145,46
1269,68941,0.46,238.92,395324,2.64,1364.82,24.7,98430,42
2024,0,0.0,0.62,69482,0.46,240.78,20.87,98124,50
1659,0,0.0,0.62,0,0.0,0.62,22.5,98222,43
477,0,0.0,0.62,0,0.0,0.62,27.55,98795,37
1614,0,0.0,0.62,103477,0.69,357.89,22.65,98277,42
959,0,0.0,0.62,0,0.0,0.62,33.06,98454,20
634,0,0.0,0.62,74303,0.5,257.41,29.29,98773,28
129,0,0.0,0.62,205059,1.37,707.2,18.06,98918,80
1278,0,0.0,0.62,60152,0.4,208.61,24.36,98419,43
2045,0,0.0,0.62,190297,1.27,656.45,20.72,98123,51
551,0,0.0,0.62,39805,0.27,138.36,27.87,98781,31
1811,0,0.0,0.62,61546,0.41,213.42,21.96,98158,46
1632,146044,0.97,504.32,435251,2.9,1504.37,22.58,98264,42
936,0,0.0,0.62,0,0.0,0.62,31.82,98505,21
1786,0,0.0,0.62,0,0.0,0.62,21.95,98167,46
651,0,0.0,0.62,96327,0.64,333.28,28.99,98782,28
1654,0,0.0,0.62,0,0.0,0.62,22.59,98236,42
343,112215,0.75,387.97,580745,3.87,2020.75,17.23,98923,84
24,138235,0.92,477.47,428075,2.85,1479.23,18.78,98863,75
463,0,0.0,0.62,1699892,11.33,7006.52,27.64,98871,41
1227,35393,0.24,123.12,134019,0.89,462.97,24.89,98431,42
711,0,0.0,0.62,0,0.0,0.62,29.26,98787,29
286,84106,0.56,291.19,158153,1.05,545.95,17.13,98911,84
289,42324,0.28,147.07,191894,1.28,661.94,17.13,98908,84
196,0,0.0,0.62,487832,3.25,1689.42,17.84,98884,82
704,51599,0.34,179.09,181351,1.21,625.69,29.35,98782,26
1341,0,0.0,0.62,0,0.0,0.62,24.23,98392,43
1663,0,0.0,0.62,1542,0.01,5.97,22.39,98222,43
1244,3197,0.02,11.7,409437,2.73,1414.06,24.95,98430,42
586,63851,0.43,221.37,194108,1.29,669.55,28.81,98777,26
1660,0,0.0,0.62,170998,1.14,590.1,22.52,98222,43
2040,0,0.0,0.62,19496,0.13,68.14,20.8,98133,51
794,0,0.0,0.62,47774,0.32,165.89,26.18,98821,33
1518,0,0.0,0.62,178742,1.19,616.72,23.24,98319,40
436,0,0.0,0.62,3136,0.02,11.49,27.2,98892,44
153,0,0.0,0.62,103795,0.69,358.99,18.34,98919,79
1713,0,0.0,0.62,0,0.0,0.62,22.41,98189,44
38,0,0.0,0.62,119217,0.79,412.06,18.5,98869,76
1016,119539,0.8,413.17,255644,1.7,881.26,32.51,98427,23
1746,0,0.0,0.62,3162,0.02,11.58,22.29,98181,44
607,101976,0.68,352.73,248176,1.65,855.54,29.61,98771,25
760,0,0.0,0.62,12886,0.09,45.26,26.54,98808,32
905,0,0.0,0.62,0,0.0,0.62,24.23,98958,39
452,0,0.0,0.62,118404,0.79,409.26,27.45,98879,38
1808,0,0.0,0.62,162827,1.09,562.02,21.89,98156,46
1059,0,0.0,0.62,0,0.0,0.62,26.67,98424,34
1854,0,0.0,0.62,52327,0.35,181.6,21.52,98144,46
294,36339,0.24,126.39,704726,4.7,2473.87,17.13,98910,85
1247,0,0.0,0.62,0,0.0,0.62,24.97,98427,42
1038,0,0.0,0.62,108827,0.73,376.31,32.81,98426,22
513,0,0.0,0.62,0,0.0,0.62,27.56,98786,33
1086,0,0.0,0.62,98280,0.66,340.0,26.56,98437,35
1442,0,0.0,0.62,0,0.0,0.62,23.53,98343,42
821,0,0.0,0.62,0,0.0,0.62,25.7,98859,34
1475,0,0.0,0.62,0,0.0,0.62,23.52,98340,41
828,0,0.0,0.62,0,0.0,0.62,25.63,98874,35
508,0,0.0,0.62,89696,0.6,310.44,27.52,98789,34
259,0,0.0,0.62,69715,0.46,241.59,17.19,98903,85
526,0,0.0,0.62,0,0.0,0.62,27.78,98771,32
396,0,0.0,0.62,0,0.0,0.62,17.21,98926,82
786,0,0.0,0.62,137160,0.91,473.77,26.16,98819,33
1259,0,0.0,0.62,0,0.0,0.62,24.85,98432,42
1167,0,0.0,0.62,42623,0.28,148.1,25.42,98428,39
1699,0,0.0,0.62,35083,0.23,122.05,22.32,98192,44
1041,0,0.0,0.62,60816,0.41,210.9,32.43,98423,22
1320,0,0.0,0.62,0,0.0,0.62,24.28,98409,43
648,0,0.0,0.62,0,0.0,0.62,29.14,98772,28
1156,0,0.0,0.62,33356,0.22,116.08,25.53,98430,39
833,20397,0.14,71.26,135941,0.91,469.58,25.12,98921,37
717,0,0.0,0.62,13853,0.09,48.61,29.17,98789,28
1834,0,0.0,0.62,0,0.0,0.62,21.7,98147,46
1357,139350,0.93,481.3,185344,1.24,639.42,24.07,98375,44
1108,168957,1.13,583.09,262475,1.75,904.79,26.51,98448,36
1547,83734,0.56,289.91,235175,1.57,810.79,23.3,98302,40
1895,0,0.0,0.62,0,0.0,0.62,21.27,98144,46
2044,0,0.0,0.62,144973,0.97,500.64,20.73,98132,51
501,0,0.0,0.62,0,0.0,0.62,27.53,98792,35
7,178599,1.19,616.23,305667,2.04,1053.79,19.83,98868,70
34,0,0.0,0.62,143012,0.95,493.89,18.73,98865,75
1074,0,0.0,0.62,0,0.0,0.62,26.3,98438,35
571,0,0.0,0.62,134834,0.9,465.77,28.22,98779,27
1864,0,0.0,0.62,84290,0.56,291.82,21.49,98147,46
666,0,0.0,0.62,0,0.0,0.62,28.78,98782,28
1849,0,0.0,0.62,23816,0.16,83.09,21.54,98144,46
108,0,0.0,0.62,236903,1.58,816.74,18.63,98922,77
1417,5866,0.04,20.95,169490,1.13,584.92,23.58,98357,43
1367,0,0.0,0.62,0,0.0,0.62,23.88,98363,44
1825,106894,0.71,369.65,196214,1.31,676.79,21.94,98153,45
1875,0,0.0,0.62,14469,0.1,50.74,21.32,98146,46
377,12322,0.08,43.31,295466,1.97,1018.57,17.27,98932,83
1608,52707,0.35,182.92,121700,0.81,420.6,22.7,98277,42
515,0,0.0,0.62,70244,0.47,243.41,27.54,98783,32
1645,0,0.0,0.62,105430,0.7,364.62,22.73,98248,42
1744,0,0.0,0.62,0,0.0,0.62,22.32,98180,44
125,0,0.0,0.62,342,0.0,1.81,18.0,98913,81
1327,0,0.0,0.62,66841,0.45,231.68,24.37,98405,43
1829,0,0.0,0.62,13525,0.09,47.48,21.81,98154,46
1731,29108,0.19,101.39,448439,2.99,1550.64,22.38,98180,44
